Drug_ID,Category,Manufacturer,Dosage_mg,Price_per_Unit,Drug_Name
D-1,Cardiovascular,Novartis,168,277.1,Losartan
D-2,Antibiotic,Moderna,115,19.89,Ceftriaxone
D-3,Antibiotic,Pfizer,124,460.38,Azithromycin
D-4,Cardiovascular,Novartis,86,82.77,Amlodipine
D-5,Antidepressant,Roche,152,441.37,Amitriptyline
D-6,Painkiller,Novartis,321,108.99,Ibuprofen
D-7,Painkiller,Pfizer,408,90.34,Codeine
D-8,Painkiller,Novartis,383,434.13,Aspirin
D-9,Cardiovascular,Moderna,414,462.46,Atorvastatin
D-10,Antibiotic,Moderna,71,357.29,Amoxicillin
D-11,Cardiovascular,Roche,342,280.74,Losartan
D-12,Cardiovascular,Novartis,110,109.99,Losartan
D-13,Antifungal,Moderna,192,77.12,Terbinafine
D-14,Antibiotic,Novartis,265,27.17,Levofloxacin
D-15,Antifungal,AstraZeneca,245,62.9,Fluconazole
D-16,Antiviral,Moderna,301,96.63,Lopinavir
D-17,Antibiotic,Novartis,477,91.99,Amoxicillin
D-18,Antibiotic,GSK,336,6.05,Amoxicillin
D-19,Antibiotic,Moderna,474,36.2,Ceftriaxone
D-20,Painkiller,GSK,16,263.4,Aspirin
D-21,Painkiller,AstraZeneca,440,233.35,Codeine
D-22,Antifungal,AstraZeneca,392,192.8,Itraconazole
D-23,Antifungal,Moderna,443,27.43,Fluconazole
D-24,Antibiotic,AstraZeneca,429,19.75,Doxycycline
D-25,Antifungal,Moderna,410,421.43,Clotrimazole
D-26,Painkiller,Pfizer,413,300.45,Ibuprofen
D-27,Cardiovascular,GSK,278,434.58,Metoprolol
D-28,Cardiovascular,Roche,469,460.18,Ramipril
D-29,Cardiovascular,Pfizer,126,339.98,Metoprolol
D-30,Antifungal,AstraZeneca,389,358.86,Ketoconazole
D-31,Antiviral,Moderna,113,65.24,Remdesivir
D-32,Painkiller,Pfizer,196,276.13,Aspirin
D-33,Antiviral,Merck,350,409.83,Remdesivir
D-34,Antifungal,Novartis,26,98.73,Fluconazole
D-35,Antidepressant,Novartis,214,194.94,Escitalopram
D-36,Diabetes,Novartis,330,51.01,Insulin
D-37,Diabetes,Moderna,60,35.55,Insulin
D-38,Antibiotic,Merck,497,363.63,Amoxicillin
D-39,Diabetes,AstraZeneca,178,449.38,Sitagliptin
D-40,Diabetes,Moderna,269,148.23,Canagliflozin
D-41,Painkiller,AstraZeneca,44,163.07,Codeine
D-42,Cardiovascular,Roche,148,125.76,Ramipril
D-43,Antiviral,Moderna,293,471.99,Acyclovir
D-44,Antidepressant,Merck,283,296.87,Sertraline
D-45,Antidepressant,Merck,443,378.78,Amitriptyline
D-46,Painkiller,GSK,389,394.15,Codeine
D-47,Painkiller,Roche,285,141.8,Aspirin
D-48,Diabetes,Moderna,456,392.6,Glipizide
D-49,Antidepressant,Roche,50,384.39,Mirtazapine
D-50,Antibiotic,Roche,418,277.41,Azithromycin
D-51,Antibiotic,Merck,38,73.44,Levofloxacin
D-52,Antiviral,Moderna,238,160.86,Acyclovir
D-53,Antibiotic,Pfizer,300,207.29,Doxycycline
D-54,Antidepressant,Novartis,277,491.31,Fluoxetine
D-55,Diabetes,Merck,136,161.61,Canagliflozin
D-56,Antidepressant,Roche,135,339.76,Amitriptyline
D-57,Antifungal,Novartis,141,53.34,Terbinafine
D-58,Antidepressant,Merck,418,6.81,Sertraline
D-59,Diabetes,Moderna,388,368.0,Glipizide
D-60,Antibiotic,Roche,103,497.32,Doxycycline
D-61,Cardiovascular,Novartis,363,231.24,Losartan
D-62,Antiviral,Merck,489,377.04,Lopinavir
D-63,Antifungal,Novartis,343,458.42,Ketoconazole
D-64,Antibiotic,AstraZeneca,449,6.74,Doxycycline
D-65,Antiviral,Pfizer,135,409.6,Acyclovir
D-66,Antibiotic,GSK,126,143.08,Levofloxacin
D-67,Antifungal,Novartis,363,168.06,Itraconazole
D-68,Antidepressant,GSK,377,372.39,Mirtazapine
D-69,Diabetes,Merck,243,192.7,Insulin
D-70,Cardiovascular,Moderna,100,417.88,Amlodipine
D-71,Antifungal,Moderna,30,169.05,Itraconazole
D-72,Diabetes,AstraZeneca,321,451.95,Insulin
D-73,Antidepressant,Novartis,146,27.81,Fluoxetine
D-74,Antifungal,Roche,292,219.26,Terbinafine
D-75,Painkiller,Moderna,152,448.96,Paracetamol
D-76,Cardiovascular,Roche,56,198.02,Losartan
D-77,Antibiotic,Moderna,390,137.99,Azithromycin
D-78,Antibiotic,Roche,107,41.54,Amoxicillin
D-79,Cardiovascular,Pfizer,385,452.97,Metoprolol
D-80,Painkiller,Novartis,435,199.53,Ibuprofen
D-81,Diabetes,Pfizer,479,188.63,Glipizide
D-82,Antidepressant,Pfizer,42,434.41,Escitalopram
D-83,Antibiotic,Novartis,473,355.93,Azithromycin
D-84,Diabetes,GSK,472,353.52,Insulin
D-85,Painkiller,Merck,77,446.45,Paracetamol
