Inventory_ID,Drug_ID,Stock_Level,Last_Restock_Date
I-1,D-1775,3371,2025-01-11
I-2,D-1941,5889,2025-01-03
I-3,D-1971,3847,2025-01-29
I-4,D-9575,5003,2025-01-06
I-5,D-2196,8110,2025-02-06
I-6,D-1885,1438,2025-01-29
I-7,D-5935,3958,2025-01-11
I-8,D-2437,7946,2025-01-28
I-9,D-526,9920,2025-01-02
I-10,D-52,1544,2025-02-07
I-11,D-232,5310,2025-01-11
I-12,D-9641,2050,2025-02-18
I-13,D-1866,1618,2025-01-05
I-14,D-9253,3057,2025-01-20
I-15,D-7094,5088,2025-01-19
I-16,D-5673,6632,2025-01-24
I-17,D-6943,3731,2025-02-05
I-18,D-8374,5800,2025-01-06
I-19,D-5252,3824,2025-01-30
I-20,D-4299,1614,2025-02-15
I-21,D-6212,4185,2025-01-10
I-22,D-8658,8121,2025-01-09
I-23,D-3260,1065,2025-01-18
I-24,D-5021,4677,2025-01-30
I-25,D-4524,3029,2025-01-18
I-26,D-7739,4837,2025-01-27
I-27,D-8418,9295,2025-01-21
I-28,D-9826,3148,2025-02-09
I-29,D-7729,1394,2025-01-14
I-30,D-1988,7884,2025-01-18
I-31,D-2966,8839,2025-02-08
I-32,D-7860,1061,2025-02-06
I-33,D-7216,92,2025-01-28
I-34,D-6506,1823,2025-02-01
I-35,D-7653,3634,2025-02-16
I-36,D-2974,3468,2025-02-14
I-37,D-7817,8455,2025-01-17
I-38,D-1067,1412,2025-01-28
I-39,D-513,5972,2025-01-03
I-40,D-6971,9996,2025-01-31
I-41,D-7368,1305,2025-02-05
I-42,D-8438,447,2025-01-16
I-43,D-8251,7006,2025-01-04
I-44,D-5598,6943,2025-02-03
I-45,D-3250,8973,2025-02-05
I-46,D-7267,5115,2025-01-11
I-47,D-6782,4759,2025-02-06
I-48,D-8947,8807,2025-01-16
I-49,D-3088,1245,2025-01-09
I-50,D-6549,1992,2025-01-12
I-51,D-1222,7320,2025-01-29
I-52,D-6374,1081,2025-01-14
I-53,D-8617,7362,2025-02-09
I-54,D-8277,2175,2025-01-26
I-55,D-5097,606,2025-01-24
I-56,D-6605,2963,2025-01-12
I-57,D-2547,9708,2025-02-13
I-58,D-3007,2226,2025-02-08
I-59,D-714,7995,2025-01-25
I-60,D-7751,5834,2025-01-13
I-61,D-6697,9544,2025-02-07
I-62,D-9666,6788,2025-01-03
I-63,D-3389,723,2025-01-08
I-64,D-7727,2098,2025-01-23
I-65,D-7592,4738,2025-02-04
I-66,D-4259,5968,2025-02-18
I-67,D-5231,987,2025-02-07
I-68,D-4846,3819,2025-02-03
I-69,D-2406,8319,2025-01-17
I-70,D-446,5874,2025-02-17
I-71,D-9712,3091,2025-01-22
I-72,D-9466,767,2025-01-27
I-73,D-7779,7298,2025-02-17
I-74,D-2910,8445,2025-01-16
I-75,D-3632,1118,2025-01-28
I-76,D-6810,2213,2025-02-06
I-77,D-5182,6905,2025-02-04
I-78,D-8218,4601,2025-02-05
I-79,D-7420,3881,2025-01-30
I-80,D-8888,3330,2025-01-24
I-81,D-4527,6059,2025-01-03
I-82,D-6551,7960,2025-02-08
I-83,D-7655,1027,2025-01-30
I-84,D-8743,5370,2025-02-02
I-85,D-6638,1710,2025-01-06
I-86,D-9715,9221,2025-01-26
I-87,D-1680,1367,2025-01-30
I-88,D-3973,5311,2025-01-01
I-89,D-4285,7654,2025-01-20
I-90,D-513,9415,2025-01-29
I-91,D-8883,2791,2025-02-14
I-92,D-2586,4023,2025-02-03
I-93,D-2385,1973,2025-02-18
I-94,D-4988,9531,2025-01-07
I-95,D-1588,3954,2025-01-19
I-96,D-431,7849,2025-02-10
I-97,D-9419,3039,2025-01-14
I-98,D-291,9695,2025-01-06
I-99,D-2241,427,2025-01-20
I-100,D-1371,7552,2025-01-10
I-101,D-1280,785,2025-01-25
I-102,D-3809,6136,2025-01-25
I-103,D-7110,9258,2025-02-15
I-104,D-611,1312,2025-01-13
I-105,D-954,664,2025-01-01
I-106,D-5529,509,2025-01-21
I-107,D-7416,7029,2025-02-14
I-108,D-8311,4957,2025-01-19
I-109,D-8477,1311,2025-01-04
I-110,D-3842,9030,2025-02-05
I-111,D-9118,6088,2025-01-14
I-112,D-6095,9412,2025-01-01
I-113,D-623,214,2025-02-11
I-114,D-2506,3750,2025-02-13
I-115,D-7230,3558,2025-01-28
I-116,D-4959,2685,2025-01-10
I-117,D-94,693,2025-01-08
I-118,D-9364,3007,2025-01-14
I-119,D-4911,3325,2025-01-21
I-120,D-203,7785,2025-02-03
I-121,D-8868,8709,2025-01-18
I-122,D-7996,7073,2025-02-13
I-123,D-2536,4074,2025-02-07
I-124,D-959,126,2025-01-11
I-125,D-5070,1884,2025-01-22
I-126,D-8037,4826,2025-02-16
I-127,D-6355,2981,2025-02-17
I-128,D-5917,1275,2025-02-11
I-129,D-9399,1596,2025-01-29
I-130,D-298,7952,2025-01-09
I-131,D-9142,7881,2025-01-29
I-132,D-9205,3546,2025-01-23
I-133,D-9078,4452,2025-01-01
I-134,D-2932,8774,2025-01-17
I-135,D-5751,8328,2025-01-24
I-136,D-899,4325,2025-01-28
I-137,D-7093,5473,2025-01-02
I-138,D-6654,4507,2025-01-01
I-139,D-752,345,2025-01-28
I-140,D-9837,9957,2025-02-02
I-141,D-7020,8427,2025-01-06
I-142,D-4630,149,2025-01-22
I-143,D-6601,8077,2025-01-13
I-144,D-8179,1745,2025-01-01
I-145,D-8883,5655,2025-01-04
I-146,D-2479,2804,2025-01-18
I-147,D-6530,4586,2025-01-10
