Marketing_ID,Drug_ID,Channel,Budget,ROI
M-1,D-2875,Billboards,14500.65,9.11
M-2,D-8681,TV,61139.42,4.13
M-3,D-3277,Online Ads,97214.86,1.73
M-4,D-3923,Billboards,95907.21,4.84
M-5,D-5791,Online Ads,73621.1,8.63
M-6,D-8129,Online Ads,14378.01,7.27
M-7,D-8796,Print Media,98916.25,8.41
M-8,D-4387,Online Ads,93962.15,4.66
M-9,D-3005,Online Ads,37916.7,1.06
M-10,D-4839,Print Media,1220.57,4.84
M-11,D-8754,Print Media,3985.84,1.47
M-12,D-7644,Radio,56779.16,9.89
M-13,D-1676,Print Media,40747.41,5.81
M-14,D-5754,Billboards,98237.69,3.35
M-15,D-1627,Print Media,91983.24,4.63
M-16,D-7017,Radio,73908.38,4.63
M-17,D-1950,Print Media,57251.72,2.02
M-18,D-8083,TV,7888.64,5.99
M-19,D-1243,Print Media,20928.04,9.06
M-20,D-4917,Billboards,52128.44,9.5
M-21,D-9044,Online Ads,3009.3,7.4
M-22,D-3602,Print Media,80530.74,2.47
M-23,D-9267,Print Media,77521.44,1.76
M-24,D-7718,Online Ads,96268.18,2.33
M-25,D-676,TV,63536.39,9.67
M-26,D-5129,TV,16298.61,1.89
M-27,D-2898,Print Media,38087.75,7.61
M-28,D-3497,Radio,68537.65,4.62
M-29,D-8842,Billboards,68379.41,1.47
M-30,D-199,Billboards,48841.79,5.57
M-31,D-5220,TV,5148.47,2.52
M-32,D-6630,Radio,21496.79,4.06
M-33,D-3272,TV,46633.11,4.17
M-34,D-6355,Billboards,52396.22,8.25
M-35,D-2512,TV,90601.86,5.04
M-36,D-6893,Billboards,74548.54,6.99
M-37,D-5322,TV,1755.38,2.69
M-38,D-5330,Online Ads,85704.82,3.39
M-39,D-5178,Radio,34701.49,9.53
M-40,D-9251,Radio,5970.18,4.84
M-41,D-2059,Billboards,15469.87,2.96
M-42,D-3807,Billboards,82395.76,3.09
M-43,D-9645,Online Ads,88558.07,9.59
M-44,D-8285,Radio,5750.22,9.7
M-45,D-1655,Billboards,86765.27,1.2
M-46,D-3960,Radio,34839.77,5.45
M-47,D-7155,Print Media,19157.43,8.48
M-48,D-5497,Print Media,86995.78,6.21
M-49,D-775,Online Ads,40013.57,1.97
M-50,D-4779,Print Media,71862.87,2.98
M-51,D-8613,Online Ads,59131.37,1.09
M-52,D-4817,TV,85888.17,1.98
M-53,D-5126,Radio,22270.71,7.05
M-54,D-8606,Radio,29080.89,5.58
M-55,D-7842,Online Ads,50864.33,9.44
M-56,D-8944,TV,86916.34,8.46
M-57,D-9339,Radio,57811.64,6.38
M-58,D-9799,Radio,12353.92,3.98
M-59,D-5873,Radio,73909.79,7.28
M-60,D-5328,Radio,3628.26,5.42
M-61,D-2469,Online Ads,2320.35,1.13
M-62,D-2342,Radio,92414.48,4.8
M-63,D-5729,Billboards,13954.44,5.0
M-64,D-6268,Online Ads,30787.92,1.9
M-65,D-1468,Online Ads,28623.94,3.02
M-66,D-8723,Billboards,70811.76,5.19
M-67,D-681,TV,41325.2,1.16
M-68,D-7757,Radio,38504.15,3.16
M-69,D-9540,Online Ads,80468.17,9.75
M-70,D-7290,Billboards,58826.2,9.1
M-71,D-2239,Print Media,75554.1,9.15
M-72,D-5074,Online Ads,16047.14,8.0
M-73,D-7135,Radio,50527.86,4.71
M-74,D-8352,Radio,32846.52,6.81
M-75,D-9285,Online Ads,93385.27,9.18
M-76,D-8577,TV,43609.24,2.4
M-77,D-5063,Billboards,32634.8,2.5
M-78,D-1057,TV,63477.27,5.82
M-79,D-4998,Print Media,81036.41,1.12
M-80,D-8037,Billboards,67816.83,2.04
M-81,D-4708,Online Ads,31206.92,5.69
M-82,D-7213,Online Ads,34447.03,9.93
M-83,D-3041,Online Ads,61313.76,1.85
M-84,D-6572,Online Ads,76648.11,1.51
M-85,D-9529,Radio,44019.94,7.96
M-86,D-592,TV,58145.87,6.15
M-87,D-8743,Online Ads,4661.66,7.77
M-88,D-2090,Radio,85552.88,8.73
M-89,D-2968,Radio,68812.69,8.17
M-90,D-728,TV,25577.14,5.97
M-91,D-1731,Online Ads,34185.19,6.72
M-92,D-3094,Billboards,18950.28,1.82
M-93,D-7237,Billboards,12071.24,6.76
M-94,D-946,Print Media,9024.13,5.63
M-95,D-2653,Billboards,26026.38,1.9
M-96,D-9788,Print Media,50760.54,1.64
M-97,D-7845,Billboards,67829.94,8.63
M-98,D-7386,Online Ads,78318.28,1.54
M-99,D-8863,TV,62062.85,9.02
M-100,D-5311,TV,31400.94,3.51
M-101,D-7114,Radio,28774.83,5.86
M-102,D-1871,TV,42621.7,4.65
M-103,D-1000,TV,46125.39,8.05
M-104,D-2854,Radio,10411.74,7.26
M-105,D-6997,Print Media,45787.32,3.99
M-106,D-5463,TV,96679.71,3.65
M-107,D-7307,Online Ads,55543.27,4.35
M-108,D-2471,Print Media,74978.47,2.36
M-109,D-535,Print Media,49258.48,8.53
M-110,D-4686,Billboards,14157.7,2.51
M-111,D-8575,Radio,46848.84,4.52
M-112,D-2691,TV,94098.5,3.87
M-113,D-2109,Online Ads,31902.9,3.68
M-114,D-8873,TV,95028.57,6.07
M-115,D-8169,TV,71074.62,7.63
M-116,D-9512,Print Media,23160.2,1.01
M-117,D-325,TV,57239.16,9.32
M-118,D-3261,Online Ads,65406.73,5.14
M-119,D-1871,Online Ads,15739.31,5.1
M-120,D-7878,Radio,73080.89,2.17
M-121,D-7556,Online Ads,63176.96,3.2
M-122,D-9510,Online Ads,80784.68,7.19
M-123,D-1787,Billboards,90829.59,4.19
M-124,D-9370,Radio,62908.85,1.79
M-125,D-9814,Online Ads,99005.37,8.53
M-126,D-4781,TV,77812.73,4.62
M-127,D-1406,Online Ads,29227.91,9.84
M-128,D-3982,Print Media,11383.34,6.78
M-129,D-9324,Print Media,22414.06,5.05
M-130,D-5613,Radio,4530.12,3.76
M-131,D-6641,Billboards,81928.65,3.72
M-132,D-974,TV,44005.42,9.8
M-133,D-8395,Radio,59794.63,9.89
M-134,D-6614,Online Ads,87889.77,4.0
M-135,D-7535,Print Media,49857.66,2.86
M-136,D-5712,Billboards,57068.28,2.85
M-137,D-3353,Radio,96120.31,5.79
M-138,D-7154,Billboards,77176.67,5.25
M-139,D-3010,Print Media,56647.06,2.07
M-140,D-2036,TV,16541.33,8.34
M-141,D-384,Online Ads,70520.06,1.94
M-142,D-8524,TV,18785.88,1.71
M-143,D-8214,TV,87628.92,6.21
M-144,D-7562,TV,8424.39,4.09
M-145,D-478,TV,25753.37,5.68
M-146,D-5854,Billboards,76971.13,9.26
M-147,D-6793,Online Ads,54669.79,4.48
M-148,D-1505,Radio,56076.01,4.21
M-149,D-7977,TV,65239.53,3.41
M-150,D-785,Billboards,8307.58,5.55
M-151,D-7624,TV,50630.99,5.84
M-152,D-9595,Online Ads,31440.26,3.38
M-153,D-1772,TV,94032.59,7.07
M-154,D-8020,Online Ads,26448.65,5.77
M-155,D-3090,Online Ads,4934.13,8.37
M-156,D-5042,TV,1045.22,4.78
M-157,D-7960,Billboards,75671.92,4.69
M-158,D-6346,TV,50522.28,9.48
M-159,D-2137,TV,14243.89,9.56
M-160,D-4051,Radio,74640.17,2.89
M-161,D-9702,Online Ads,24856.52,6.5
M-162,D-5162,Radio,93868.52,1.95
M-163,D-9561,Radio,30169.25,5.73
M-164,D-4893,Print Media,79237.96,8.56
M-165,D-9886,Radio,89938.18,3.48
M-166,D-3092,Online Ads,14299.78,8.8
M-167,D-9008,Print Media,51986.48,7.07
M-168,D-4504,Billboards,38483.84,3.02
M-169,D-917,Radio,19092.04,8.18
M-170,D-5436,Print Media,11259.05,8.78
M-171,D-1782,Print Media,33758.58,8.27
M-172,D-6273,TV,32174.26,4.66
M-173,D-8858,TV,77624.17,1.62
M-174,D-5077,Billboards,36895.19,2.83
M-175,D-3472,Billboards,19428.88,8.59
M-176,D-4920,Radio,45360.0,3.56
M-177,D-8137,TV,11090.09,5.66
M-178,D-6415,Online Ads,51270.82,7.19
M-179,D-6750,Billboards,6976.88,2.89
M-180,D-2646,Billboards,85489.28,9.3
M-181,D-8817,Radio,91498.61,7.85
M-182,D-9091,Print Media,14025.4,6.68
M-183,D-7694,Billboards,6819.65,9.74
M-184,D-1523,TV,46560.69,5.32
M-185,D-5112,Billboards,27444.52,6.01
M-186,D-1939,TV,46245.34,4.45
M-187,D-9151,Radio,5520.2,9.32
M-188,D-6468,Print Media,88624.82,4.83
M-189,D-2560,Print Media,47608.35,5.3
M-190,D-6909,Radio,94520.27,8.35
M-191,D-6243,Print Media,25003.62,9.9
M-192,D-1427,Billboards,60709.99,1.05
M-193,D-7146,Print Media,11354.15,6.82
M-194,D-8778,TV,96751.65,8.77
M-195,D-6686,Radio,79554.33,7.26
M-196,D-4656,Print Media,92123.62,6.75
M-197,D-3255,Online Ads,68490.6,2.26
M-198,D-530,Online Ads,77358.82,9.2
M-199,D-383,Print Media,58623.36,3.64
M-200,D-5637,Online Ads,79238.76,3.19
M-201,D-4324,Billboards,31661.98,1.64
M-202,D-2197,Print Media,16853.94,5.71
M-203,D-3681,TV,99156.73,7.14
M-204,D-3568,Online Ads,50312.23,4.12
M-205,D-3305,Billboards,68248.67,4.39
M-206,D-6168,Billboards,49901.39,5.96
M-207,D-7212,Online Ads,89279.49,8.49
M-208,D-5777,Billboards,25460.86,8.54
M-209,D-4081,Radio,1573.45,2.98
M-210,D-7544,Radio,19162.86,4.22
M-211,D-9784,Print Media,67318.5,8.77
M-212,D-7936,Print Media,98912.66,1.22
M-213,D-1786,Radio,38444.81,4.24
M-214,D-5620,Billboards,11675.61,6.66
M-215,D-3756,Print Media,8307.9,9.08
M-216,D-6681,Billboards,88579.17,3.21
M-217,D-2847,TV,69966.9,4.03
M-218,D-9624,TV,82984.82,3.52
M-219,D-715,Billboards,34572.23,1.93
M-220,D-7967,Billboards,87572.59,2.65
M-221,D-7452,Print Media,54813.08,6.78
M-222,D-3319,TV,63739.44,7.73
M-223,D-104,TV,32360.04,7.24
M-224,D-5758,Print Media,81321.63,4.69
M-225,D-3023,Print Media,16723.7,3.31
M-226,D-2678,Radio,78437.76,6.84
M-227,D-1206,Print Media,20587.97,3.96
M-228,D-7029,Radio,52946.29,1.36
M-229,D-8989,Billboards,42815.13,8.91
M-230,D-9489,Billboards,56767.85,8.44
M-231,D-4123,Billboards,9620.32,8.51
M-232,D-2214,Radio,62552.37,1.89
M-233,D-7373,Print Media,9390.88,2.62
M-234,D-7555,Radio,58227.21,8.74
M-235,D-9293,Print Media,85067.6,8.21
M-236,D-5545,Radio,48784.7,2.72
M-237,D-6307,Billboards,93906.62,4.91
M-238,D-3718,Online Ads,97968.28,7.37
M-239,D-5216,Print Media,99941.75,6.77
M-240,D-4493,Print Media,13801.55,6.58
M-241,D-6898,Online Ads,23284.13,9.02
M-242,D-6539,Print Media,60585.75,9.11
M-243,D-4313,TV,67780.26,4.5
M-244,D-149,Radio,63779.4,5.43
M-245,D-4174,Radio,49245.37,8.38
M-246,D-5091,Billboards,27562.42,1.42
M-247,D-3184,Billboards,36019.41,7.08
M-248,D-2158,Print Media,98955.82,6.82
M-249,D-3480,Online Ads,22548.52,7.18
M-250,D-8013,Print Media,99343.35,3.29
M-251,D-2752,Online Ads,33450.9,3.8
M-252,D-4178,TV,5411.69,8.21
M-253,D-6014,Online Ads,71211.54,5.75
M-254,D-7450,Radio,18999.92,7.53
M-255,D-4484,Radio,3978.31,8.79
M-256,D-9558,Online Ads,89172.3,5.59
M-257,D-4314,Online Ads,13389.44,1.86
M-258,D-9703,Radio,3240.48,8.99
M-259,D-2179,Radio,93888.64,5.32
M-260,D-114,Radio,28621.5,5.37
M-261,D-2207,TV,97817.59,4.81
M-262,D-6558,TV,43464.63,6.48
M-263,D-1775,TV,66353.95,7.77
M-264,D-4840,Radio,59284.17,8.07
M-265,D-4283,Billboards,25308.7,5.77
M-266,D-8664,TV,1024.79,9.47
M-267,D-1623,Print Media,60289.33,3.7
M-268,D-5954,TV,75773.2,5.14
M-269,D-1208,Billboards,58365.32,1.42
M-270,D-606,Online Ads,2914.94,8.35
M-271,D-3778,Billboards,20030.43,8.73
M-272,D-7153,Radio,16683.0,7.49
M-273,D-5794,Radio,67534.65,5.37
M-274,D-4214,Billboards,98297.67,4.82
M-275,D-2057,TV,85218.84,1.42
M-276,D-1388,Radio,91036.57,4.57
M-277,D-7998,Billboards,13165.05,4.52
M-278,D-4515,Online Ads,37304.6,7.4
M-279,D-8089,Online Ads,65434.53,8.31
M-280,D-524,TV,11127.46,6.31
M-281,D-717,Radio,3923.55,3.5
M-282,D-4602,Print Media,39161.34,6.5
M-283,D-6847,Radio,4669.6,8.32
M-284,D-2992,Print Media,7385.94,9.72
M-285,D-4479,Print Media,80522.46,3.58
M-286,D-3845,Radio,30621.13,7.32
M-287,D-3044,Billboards,20343.21,9.66
M-288,D-9543,Print Media,19624.78,5.79
M-289,D-8112,Radio,45728.71,9.93
M-290,D-8264,Online Ads,66466.48,8.49
M-291,D-8036,TV,15881.74,4.88
M-292,D-7718,Print Media,82459.91,5.84
M-293,D-9362,Online Ads,43770.77,9.09
M-294,D-3073,TV,99625.08,3.47
M-295,D-9592,Online Ads,62206.86,5.74
M-296,D-2017,TV,39679.23,7.43
M-297,D-2824,Billboards,25054.93,5.75
M-298,D-7606,Online Ads,22254.32,5.79
M-299,D-2192,Print Media,54104.18,1.67
M-300,D-9282,Radio,86940.44,9.12
M-301,D-9547,Print Media,11740.33,9.56
M-302,D-8526,Radio,1684.56,7.05
M-303,D-4058,Billboards,6924.1,1.2
M-304,D-3691,Print Media,26973.02,1.0
M-305,D-6456,TV,12412.52,5.34
M-306,D-1712,Billboards,95753.64,5.85
M-307,D-5233,TV,3339.43,1.72
M-308,D-6957,Billboards,78315.56,8.18
M-309,D-7552,Billboards,31157.86,6.64
M-310,D-3629,Billboards,14647.91,1.96
M-311,D-9863,Radio,43470.09,9.19
M-312,D-7503,Online Ads,97575.55,3.19
M-313,D-9185,Print Media,63330.23,5.62
M-314,D-8144,Print Media,26371.96,6.9
M-315,D-9131,Radio,53249.91,5.3
M-316,D-7166,Print Media,96754.96,3.04
M-317,D-1671,Radio,52176.39,4.53
M-318,D-5577,Online Ads,6069.15,9.28
M-319,D-657,Print Media,61975.77,9.66
M-320,D-343,Radio,54061.17,6.07
M-321,D-1698,Online Ads,96139.97,8.81
M-322,D-8718,TV,44399.8,9.58
M-323,D-2154,Online Ads,9112.02,7.77
M-324,D-5149,Print Media,19734.8,8.28
M-325,D-6496,Radio,13404.54,8.74
M-326,D-1421,TV,90579.44,1.16
M-327,D-2659,TV,58899.49,1.39
M-328,D-8665,Radio,25686.88,6.75
M-329,D-2070,TV,37033.66,3.18
M-330,D-9972,Radio,68913.39,7.39
M-331,D-5848,Print Media,80428.71,5.42
M-332,D-5354,Online Ads,14681.58,3.87
M-333,D-5840,Radio,28328.15,2.04
M-334,D-1050,TV,50314.42,8.05
M-335,D-2512,Online Ads,77916.97,3.73
M-336,D-1735,Print Media,33225.24,4.58
M-337,D-6500,Billboards,30734.26,3.84
M-338,D-9655,Online Ads,96702.05,5.46
M-339,D-9639,Online Ads,55376.13,7.67
M-340,D-980,Online Ads,90984.36,2.9
M-341,D-6671,Radio,12821.18,4.36
M-342,D-7589,Print Media,45548.68,6.1
M-343,D-3946,Billboards,27417.79,2.33
M-344,D-7370,Radio,69227.91,7.6
M-345,D-1652,Print Media,46266.72,7.15
