Revenue_ID,Drug_ID,Year,Total_Revenue
R-1,D-6011,2020,1372398.2
R-2,D-6744,2017,166280.64
R-3,D-3634,2017,1143846.9
R-4,D-8221,2021,1400245.82
R-5,D-133,2016,1076911.07
R-6,D-3000,2017,1716775.54
R-7,D-8931,2019,723060.21
R-8,D-5500,2022,728341.68
R-9,D-2435,2016,1234421.73
R-10,D-1131,2018,1525544.11
R-11,D-2490,2015,1276482.08
R-12,D-837,2020,1692851.8
R-13,D-801,2017,633949.59
R-14,D-4700,2015,1427698.53
R-15,D-1486,2021,1305751.8
R-16,D-6622,2019,1829401.11
R-17,D-4374,2015,321014.35
R-18,D-9081,2024,1156653.74
R-19,D-5893,2016,1874428.75
R-20,D-1523,2024,1820036.32
R-21,D-6028,2016,1451045.23
R-22,D-5767,2022,1243304.11
R-23,D-9297,2015,1345178.96
R-24,D-6641,2021,838161.64
R-25,D-4288,2021,1133578.45
R-26,D-8854,2024,170183.26
R-27,D-7816,2018,141463.39
R-28,D-518,2020,369041.99
R-29,D-3086,2019,1896289.69
R-30,D-2219,2023,826286.58
R-31,D-1984,2024,1318617.78
R-32,D-8483,2016,1207256.48
R-33,D-7590,2015,375295.65
R-34,D-245,2017,1196922.25
R-35,D-3916,2016,905323.98
R-36,D-6015,2016,875887.47
R-37,D-670,2019,1905201.54
R-38,D-8980,2015,1236312.79
R-39,D-9023,2024,915306.88
R-40,D-8971,2016,224157.39
R-41,D-8467,2020,895962.46
R-42,D-4579,2020,1783871.96
R-43,D-2698,2023,1093042.88
R-44,D-3797,2016,819701.16
R-45,D-5944,2021,1614117.22
R-46,D-4343,2022,1284089.36
R-47,D-144,2018,1954186.5
R-48,D-2216,2023,1967285.83
R-49,D-1133,2018,952014.81
R-50,D-6748,2018,1927343.94
R-51,D-9425,2024,1878238.64
R-52,D-8859,2024,1743014.42
R-53,D-741,2022,768963.69
R-54,D-6973,2015,1792187.07
R-55,D-9041,2019,1984590.26
R-56,D-1138,2024,1111671.58
R-57,D-3728,2023,428002.71
R-58,D-5612,2018,560813.3
R-59,D-6383,2020,1121888.24
R-60,D-3343,2021,55529.61
R-61,D-6293,2018,822295.81
R-62,D-2398,2017,297593.44
R-63,D-2341,2022,1216020.02
R-64,D-4429,2022,684013.94
R-65,D-4705,2015,600563.61
R-66,D-7090,2018,1780367.59
R-67,D-3009,2021,990993.88
R-68,D-7026,2016,1671012.89
R-69,D-5466,2024,1086471.35
R-70,D-5961,2018,1216832.97
R-71,D-6743,2017,62440.28
R-72,D-1994,2023,377104.41
R-73,D-5980,2023,1926522.96
R-74,D-8046,2022,837083.03
R-75,D-7384,2020,1155578.43
R-76,D-2103,2017,1081503.27
R-77,D-3753,2020,293241.34
R-78,D-5538,2022,1340834.51
R-79,D-5642,2021,245555.72
R-80,D-1377,2023,1102452.08
R-81,D-7861,2022,1142259.83
R-82,D-2165,2020,1091905.17
R-83,D-7560,2017,476747.66
R-84,D-4597,2021,451552.72
R-85,D-9003,2019,1287203.67
R-86,D-4859,2018,1398391.06
R-87,D-7461,2022,1909738.4
R-88,D-9751,2024,368211.33
R-89,D-3043,2022,1208230.1
R-90,D-7655,2024,904552.93
R-91,D-703,2022,1105190.83
R-92,D-5789,2020,1497542.94
R-93,D-9488,2017,1673938.47
R-94,D-9811,2020,726252.59
R-95,D-4349,2019,84813.27
R-96,D-4559,2017,1683258.19
R-97,D-6192,2016,722747.51
R-98,D-1616,2022,1309929.94
R-99,D-7370,2016,672501.86
R-100,D-3666,2024,817333.43
R-101,D-5167,2016,464817.85
R-102,D-3712,2021,1712412.34
R-103,D-6578,2023,60490.28
R-104,D-919,2019,1820207.2
R-105,D-6865,2024,121740.7
R-106,D-8199,2020,1396591.76
R-107,D-4702,2024,1962038.11
R-108,D-4763,2023,99458.16
R-109,D-8167,2017,1787663.13
R-110,D-45,2021,582097.33
R-111,D-6918,2018,264273.69
R-112,D-8017,2019,895368.42
R-113,D-5036,2024,1510296.88
R-114,D-78,2019,67650.66
R-115,D-9973,2020,1256038.7
R-116,D-1040,2024,153694.47
R-117,D-2571,2015,193705.27
R-118,D-6318,2020,1076509.93
R-119,D-490,2018,920029.65
R-120,D-2515,2022,1272088.33
R-121,D-8311,2020,1208949.17
R-122,D-7459,2019,1614177.67
R-123,D-895,2024,1386547.25
R-124,D-383,2024,641929.47
R-125,D-7332,2015,1322270.86
R-126,D-1065,2019,598553.45
R-127,D-1764,2024,930541.45
R-128,D-424,2020,795259.09
R-129,D-7028,2016,1569696.92
R-130,D-4855,2016,1960347.41
R-131,D-8335,2019,841010.83
R-132,D-869,2016,1577293.22
R-133,D-2373,2015,804114.8
R-134,D-3185,2016,118660.33
R-135,D-2375,2015,802065.26
R-136,D-5848,2023,1841907.18
R-137,D-8329,2024,809667.5
R-138,D-6503,2023,1277699.29
R-139,D-9227,2022,1045969.37
R-140,D-8355,2017,1741452.59
R-141,D-263,2021,547836.75
R-142,D-1016,2024,1451267.62
R-143,D-8887,2015,662655.29
R-144,D-8774,2020,640974.41
R-145,D-1618,2024,969455.75
R-146,D-4664,2019,861001.93
R-147,D-8604,2022,118257.85
R-148,D-4928,2016,1013751.69
R-149,D-8865,2018,155128.8
R-150,D-9898,2022,656073.79
R-151,D-5093,2018,911958.32
R-152,D-6348,2024,1884652.08
R-153,D-5390,2017,1203361.64
R-154,D-4295,2021,1069286.2
R-155,D-1208,2021,1208279.97
R-156,D-1116,2021,1862140.69
R-157,D-2954,2024,1154824.34
R-158,D-4544,2020,263204.85
R-159,D-2860,2024,1006966.84
R-160,D-2367,2023,881454.86
R-161,D-9807,2016,209080.72
R-162,D-6737,2023,704209.15
R-163,D-969,2018,1028481.69
R-164,D-6955,2022,964682.19
R-165,D-1350,2015,212256.38
R-166,D-4091,2018,674667.05
R-167,D-9114,2024,128692.43
R-168,D-2969,2019,1768422.66
R-169,D-1964,2022,1496075.68
R-170,D-7767,2018,263065.13
R-171,D-2597,2016,312697.49
R-172,D-5126,2017,1957626.81
R-173,D-2364,2020,380087.9
R-174,D-1269,2019,1439654.69
R-175,D-9149,2024,433261.75
R-176,D-6748,2022,404104.61
R-177,D-7055,2015,117310.26
R-178,D-7265,2022,1278571.41
R-179,D-8473,2020,228289.19
R-180,D-2352,2016,1381603.47
R-181,D-3472,2019,1819305.31
R-182,D-9512,2024,1642018.36
R-183,D-6662,2022,658214.3
R-184,D-7914,2021,1210197.65
R-185,D-5294,2022,1208815.57
R-186,D-7045,2019,1597048.57
R-187,D-7441,2015,151655.41
R-188,D-6750,2015,63504.96
R-189,D-6077,2017,1869248.06
R-190,D-9582,2023,1650744.86
R-191,D-4764,2021,1892289.26
R-192,D-9120,2022,304733.2
R-193,D-6509,2019,574572.71
R-194,D-3673,2016,155472.32
R-195,D-7372,2021,241885.12
R-196,D-9127,2015,1461146.41
R-197,D-7739,2022,323552.23
R-198,D-8674,2018,483595.74
R-199,D-5728,2016,1975778.86
R-200,D-5474,2024,557937.65
R-201,D-9663,2023,1462047.88
R-202,D-7286,2020,999213.05
R-203,D-1801,2015,1854861.31
R-204,D-1320,2019,1275220.83
R-205,D-8548,2022,1169571.99
R-206,D-7888,2023,762288.95
R-207,D-2146,2023,1540590.69
R-208,D-4625,2017,1122067.05
R-209,D-8499,2020,1527496.06
R-210,D-1864,2020,1197231.65
R-211,D-8687,2021,1754021.87
R-212,D-7269,2021,133974.8
R-213,D-297,2016,1810501.99
R-214,D-7102,2017,355398.34
R-215,D-3261,2023,1779559.96
R-216,D-3567,2017,1664178.0
R-217,D-7837,2019,1047418.96
R-218,D-8803,2015,1628353.9
R-219,D-7468,2023,669474.1
R-220,D-4288,2017,346227.67
R-221,D-7288,2023,1108302.7
R-222,D-2503,2022,1185467.96
R-223,D-6747,2017,1203858.93
R-224,D-7256,2022,1236841.08
R-225,D-3469,2019,1041505.35
R-226,D-2689,2015,132100.71
R-227,D-6315,2021,595667.52
R-228,D-8502,2019,1744321.63
R-229,D-1794,2022,1919811.79
R-230,D-3840,2015,1211785.26
R-231,D-6831,2023,1316368.99
R-232,D-1076,2023,180677.89
R-233,D-5518,2022,1989181.21
R-234,D-3641,2015,57092.89
R-235,D-6537,2019,83798.23
R-236,D-5055,2019,1915905.57
R-237,D-777,2024,779737.96
R-238,D-7916,2016,272599.48
R-239,D-6420,2021,1170207.09
R-240,D-2186,2015,957543.49
R-241,D-753,2022,66826.59
R-242,D-2886,2018,928470.94
R-243,D-8825,2015,1510309.07
R-244,D-2534,2017,486944.92
R-245,D-474,2022,1277715.02
R-246,D-7891,2020,1945835.84
R-247,D-5038,2023,1958536.16
R-248,D-9622,2022,1274207.65
R-249,D-5275,2024,1038415.81
R-250,D-6696,2019,1723987.33
R-251,D-2976,2018,218623.07
R-252,D-4566,2017,1806823.98
R-253,D-1460,2015,959722.3
R-254,D-4030,2020,1473263.63
R-255,D-2344,2015,1134104.07
R-256,D-4583,2015,1153486.97
R-257,D-5629,2015,603126.17
R-258,D-9830,2024,763730.11
R-259,D-1779,2019,738453.13
R-260,D-2114,2018,1300127.53
R-261,D-3935,2021,654467.92
R-262,D-1195,2020,1865868.34
R-263,D-4679,2024,1354179.66
R-264,D-1376,2021,362055.96
R-265,D-4417,2015,310839.25
R-266,D-2776,2022,573482.37
R-267,D-1341,2020,644047.25
R-268,D-5759,2019,1540352.25
R-269,D-8530,2020,1069796.67
R-270,D-2428,2019,1810594.62
R-271,D-5615,2017,1182237.88
R-272,D-4182,2017,771108.17
R-273,D-5601,2018,1424897.73
R-274,D-1921,2018,372515.82
R-275,D-4113,2021,1883348.01
R-276,D-3590,2015,1175160.17
R-277,D-5013,2021,1905439.41
R-278,D-3569,2024,608101.5
R-279,D-8878,2019,316436.93
R-280,D-2429,2018,150961.06
R-281,D-5658,2019,1297910.05
R-282,D-999,2022,1153075.46
R-283,D-928,2017,614798.56
R-284,D-8638,2024,1343425.64
R-285,D-6264,2021,728421.9
R-286,D-9899,2024,1957709.6
R-287,D-9635,2018,1669329.67
R-288,D-2080,2017,504284.73
R-289,D-585,2016,1292306.36
R-290,D-5713,2020,1162431.52
R-291,D-1134,2017,415932.19
R-292,D-983,2024,1818014.54
R-293,D-3167,2024,982981.13
R-294,D-4116,2020,1131740.45
R-295,D-1227,2024,985317.02
R-296,D-5896,2021,312557.88
R-297,D-9703,2016,586830.3
R-298,D-4971,2022,263062.32
R-299,D-2244,2015,1952766.33
R-300,D-8904,2023,1532240.32
R-301,D-3076,2023,1792235.32
R-302,D-4632,2020,416819.82
R-303,D-9501,2019,1978044.73
R-304,D-4643,2023,1062062.4
R-305,D-2496,2016,1712181.63
R-306,D-8474,2023,1889733.71
R-307,D-4046,2023,1588406.34
R-308,D-5777,2017,675554.9
R-309,D-2220,2021,1267696.88
R-310,D-7251,2019,98998.03
R-311,D-995,2024,66099.98
R-312,D-6870,2015,1242342.27
R-313,D-178,2024,1197085.71
R-314,D-7309,2019,1000669.34
R-315,D-7904,2016,1082257.29
R-316,D-1218,2017,666912.02
R-317,D-4507,2020,1897958.27
R-318,D-9838,2019,1002254.0
R-319,D-7842,2022,376152.6
R-320,D-6490,2017,1579319.86
R-321,D-4776,2019,353034.31
R-322,D-2340,2021,774797.13
R-323,D-3796,2018,1897457.18
R-324,D-6483,2018,965736.15
R-325,D-1751,2015,566442.52
R-326,D-8073,2018,88109.88
R-327,D-763,2019,1679524.6
R-328,D-3843,2020,1522123.82
R-329,D-2158,2023,819766.59
R-330,D-5120,2019,879725.38
R-331,D-2838,2015,900814.29
R-332,D-2985,2024,98163.43
R-333,D-3715,2019,1663263.45
R-334,D-4630,2018,847305.59
R-335,D-1140,2015,588012.77
R-336,D-7529,2023,316804.42
R-337,D-7489,2024,507616.72
R-338,D-9622,2019,1455567.06
R-339,D-2490,2018,68855.58
R-340,D-1308,2021,1551380.04
R-341,D-1725,2021,1313911.53
R-342,D-7503,2021,185660.29
R-343,D-973,2019,1744008.61
R-344,D-591,2022,762756.96
R-345,D-5983,2015,1482263.85
R-346,D-2665,2020,1532610.25
R-347,D-4716,2019,1573146.67
R-348,D-5149,2022,265272.24
