Sale_ID,Drug_ID,Quantity_Sold,Revenue,Sale_Date,Region
S-1,D-9318,17,3076.38,2020-12-11,London
S-2,D-6071,66,100.6,2020-03-18,Liverpool
S-3,D-5138,53,3448.49,2022-05-04,Birmingham
S-4,D-1957,26,1541.58,2022-01-30,Birmingham
S-5,D-6772,18,4777.54,2021-11-24,Manchester
S-6,D-1910,64,1513.28,2021-03-09,Manchester
S-7,D-1176,90,803.97,2020-11-14,Birmingham
S-8,D-3590,8,4655.2,2024-08-21,Leeds
S-9,D-3393,20,4731.76,2020-09-27,Leeds
S-10,D-9618,27,3716.6,2025-01-08,Leeds
S-11,D-5476,13,473.85,2023-08-03,London
S-12,D-6805,60,1476.36,2020-04-08,London
S-13,D-3079,33,862.26,2020-04-02,Birmingham
S-14,D-3070,82,1380.32,2020-10-18,Liverpool
S-15,D-2158,5,2355.07,2021-11-10,Liverpool
S-16,D-4273,17,1101.42,2021-12-23,Leeds
S-17,D-6086,68,4429.23,2024-04-19,Leeds
S-18,D-1223,96,2317.47,2025-02-13,Leeds
S-19,D-8369,10,1736.69,2020-03-23,Manchester
S-20,D-2435,6,624.55,2024-10-09,Liverpool
S-21,D-6115,49,1064.45,2021-09-09,Manchester
S-22,D-6471,1,2537.5,2024-08-20,Leeds
S-23,D-9945,100,202.58,2023-07-27,London
S-24,D-6621,81,1028.9,2021-11-15,Birmingham
S-25,D-1104,63,1419.78,2023-10-27,Leeds
S-26,D-9724,50,663.63,2025-01-04,Liverpool
S-27,D-2108,30,600.8,2022-05-14,Birmingham
S-28,D-1336,38,180.93,2020-01-21,Leeds
S-29,D-2381,36,1796.63,2021-05-11,Liverpool
S-30,D-7040,27,1964.05,2023-08-06,Liverpool
S-31,D-9299,27,3065.52,2022-11-23,Leeds
S-32,D-7390,36,2044.64,2022-05-13,London
S-33,D-5111,88,4123.55,2021-04-28,Birmingham
S-34,D-9143,54,2125.72,2021-10-30,London
S-35,D-6355,1,1558.2,2022-11-11,Manchester
S-36,D-9499,24,2375.85,2020-11-13,Birmingham
S-37,D-7965,84,848.66,2020-10-15,Leeds
S-38,D-9068,96,463.29,2023-03-26,Birmingham
S-39,D-4984,49,4564.95,2020-10-27,Birmingham
S-40,D-8612,27,2090.5,2023-01-20,Birmingham
S-41,D-7893,32,4738.31,2022-12-04,Birmingham
S-42,D-9357,93,3452.64,2025-02-18,Manchester
S-43,D-8315,47,4711.6,2022-04-01,Liverpool
S-44,D-9938,51,1093.23,2020-05-14,Liverpool
S-45,D-6691,36,2483.6,2023-11-28,Leeds
S-46,D-3248,10,2597.38,2024-07-24,Manchester
S-47,D-1398,91,4727.49,2021-01-22,Manchester
S-48,D-9366,52,2457.2,2023-03-22,Liverpool
S-49,D-6961,82,4785.62,2020-09-01,Manchester
S-50,D-3678,23,2445.95,2024-09-11,Manchester
S-51,D-958,76,1598.31,2022-06-29,Birmingham
S-52,D-5694,71,2448.78,2023-01-28,Birmingham
S-53,D-2655,85,4291.99,2024-11-28,Liverpool
S-54,D-8105,64,1011.01,2021-08-20,London
S-55,D-835,5,3019.71,2020-08-04,Leeds
S-56,D-4258,22,2100.86,2020-05-22,London
S-57,D-3357,43,1052.97,2021-12-09,London
S-58,D-6369,20,4472.36,2022-06-18,Liverpool
S-59,D-9351,13,536.08,2020-09-04,Birmingham
S-60,D-3002,47,1239.08,2021-12-24,Leeds
S-61,D-2957,93,1180.93,2020-11-09,Liverpool
S-62,D-5695,93,2492.11,2023-03-27,Liverpool
S-63,D-9231,12,3896.91,2022-05-13,London
S-64,D-1288,35,3709.58,2023-11-09,Birmingham
S-65,D-6914,87,4725.58,2023-02-07,Birmingham
S-66,D-4104,82,2795.73,2021-05-20,Liverpool
S-67,D-2182,94,760.71,2023-02-24,Liverpool
S-68,D-3852,30,563.71,2023-01-08,Birmingham
S-69,D-71,45,2315.81,2021-10-12,Leeds
S-70,D-1975,13,937.98,2022-04-09,Birmingham
S-71,D-2198,61,4754.99,2020-08-09,Leeds
S-72,D-7909,17,3364.81,2021-06-15,London
S-73,D-4614,84,2471.36,2024-07-17,Leeds
S-74,D-6642,26,3054.83,2022-01-30,Leeds
S-75,D-9608,86,1985.56,2021-05-22,Birmingham
S-76,D-164,49,1553.39,2023-12-07,Liverpool
S-77,D-1813,65,3054.28,2023-03-24,London
S-78,D-7994,47,3153.15,2022-04-18,London
S-79,D-6398,6,4299.83,2024-09-26,Liverpool
S-80,D-3340,34,1823.99,2021-11-13,London
S-81,D-1769,94,1610.16,2022-10-04,Liverpool
S-82,D-9928,96,2352.34,2020-06-22,London
S-83,D-1483,85,2170.1,2021-12-12,London
S-84,D-9350,40,703.6,2020-04-09,Birmingham
S-85,D-8232,69,2137.46,2022-09-07,London
S-86,D-6968,47,303.92,2023-05-31,Manchester
S-87,D-3994,22,1123.42,2022-04-11,Manchester
S-88,D-7647,50,1487.49,2020-07-24,Manchester
S-89,D-279,7,4747.89,2021-10-17,Birmingham
S-90,D-8588,82,4875.95,2024-10-28,Leeds
S-91,D-5945,97,836.15,2022-09-04,Liverpool
S-92,D-5668,19,243.32,2021-10-22,London
S-93,D-3707,93,2151.78,2024-03-31,Liverpool
S-94,D-6363,32,4415.3,2023-05-14,Birmingham
S-95,D-73,43,4219.32,2023-11-26,Leeds
S-96,D-6883,37,4856.39,2021-03-19,Birmingham
S-97,D-2457,84,2346.26,2022-04-02,Birmingham
S-98,D-2848,61,1635.59,2021-03-09,Manchester
S-99,D-3157,20,2079.46,2022-02-05,Manchester
S-100,D-198,22,1603.56,2024-10-10,Leeds
S-101,D-6771,33,514.68,2024-08-01,Birmingham
S-102,D-3090,5,152.79,2022-03-27,London
S-103,D-5707,41,4576.64,2024-12-21,Leeds
S-104,D-6836,93,1974.43,2023-08-24,Birmingham
S-105,D-7708,47,3394.83,2024-12-17,Birmingham
S-106,D-3377,31,1906.19,2023-05-25,Manchester
S-107,D-5781,6,931.64,2023-01-29,Liverpool
S-108,D-8034,98,4413.64,2021-11-12,London
S-109,D-7452,52,874.32,2021-03-05,Birmingham
S-110,D-6123,10,1753.0,2024-05-02,Leeds
S-111,D-6416,15,4751.58,2024-03-13,Leeds
S-112,D-4741,29,2686.36,2020-10-09,Birmingham
S-113,D-2724,79,325.27,2020-05-26,Leeds
S-114,D-9962,3,2781.09,2020-12-06,Liverpool
S-115,D-8534,1,1741.44,2021-04-19,London
S-116,D-5070,35,4436.57,2021-05-12,Leeds
S-117,D-1064,47,2175.44,2023-08-04,London
S-118,D-31,84,173.17,2025-01-26,Liverpool
S-119,D-4882,68,368.75,2020-07-16,Birmingham
S-120,D-138,78,3546.93,2023-04-10,Birmingham
S-121,D-579,18,3874.32,2023-03-31,Liverpool
S-122,D-3557,61,1499.46,2025-01-25,Birmingham
S-123,D-2611,47,3767.36,2023-12-25,Liverpool
S-124,D-7681,82,2464.93,2024-07-01,Liverpool
S-125,D-3330,22,4201.04,2022-02-20,Leeds
S-126,D-303,26,3672.84,2024-09-14,Manchester
S-127,D-3572,35,3830.86,2020-02-05,Liverpool
S-128,D-2089,7,448.84,2020-12-21,Manchester
S-129,D-5056,65,1001.65,2024-07-26,Liverpool
S-130,D-8582,63,772.86,2022-04-08,Leeds
S-131,D-2853,5,1141.6,2022-11-22,London
S-132,D-7283,97,4173.95,2020-12-12,London
S-133,D-4991,48,3284.88,2022-06-30,Leeds
S-134,D-6242,54,4529.37,2023-09-12,Leeds
S-135,D-3392,72,4379.01,2021-05-06,Liverpool
S-136,D-5323,86,3164.09,2023-11-10,Manchester
S-137,D-2087,29,4802.2,2020-01-11,London
S-138,D-3757,29,3228.32,2022-03-29,Manchester
S-139,D-5596,43,4178.75,2024-04-04,Liverpool
S-140,D-6770,47,3540.93,2021-07-09,Birmingham
S-141,D-1325,46,4122.0,2024-04-26,Leeds
S-142,D-1900,52,3501.73,2020-11-26,London
S-143,D-9123,31,782.55,2022-07-16,Liverpool
S-144,D-8436,66,3168.02,2024-04-26,Liverpool
S-145,D-2479,48,4909.6,2021-09-09,Birmingham
S-146,D-211,76,272.44,2021-04-19,Liverpool
S-147,D-3979,72,847.01,2023-03-07,Liverpool
